fuente,archivo,pagina,tabla,tipo_indice,sector,anno,medida,valor,unidad
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2024,indice,141.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2025,indice,147.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2020,variacion_anual,-2.5,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2021,variacion_anual,-1.6,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2022,variacion_anual,-0.9,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2023,variacion_anual,0.5,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2024,variacion_anual,3.4,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2025,variacion_anual,3.5,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2019,indice,977.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2020,indice,1045.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2021,indice,1115.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2022,indice,1212.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2023,indice,1325.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2024,indice,1431.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2025,indice,1498.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2020,variacion_anual,7.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2021,variacion_anual,6.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2022,variacion_anual,8.6,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2023,variacion_anual,9.4,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2024,variacion_anual,8.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,INDUSTRIAS MANUFACTURERAS,2025,variacion_anual,5.2,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2019,indice,1058.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2020,indice,1127.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2021,indice,1203.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2022,indice,1310.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2023,indice,1446.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2024,indice,1557.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2025,indice,1626.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2020,variacion_anual,6.5,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2021,variacion_anual,6.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2022,variacion_anual,8.9,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2023,variacion_anual,10.3,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2024,variacion_anual,7.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Alimentos, Bebidas y Tabaco",2025,variacion_anual,4.9,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2019,indice,819.0,indice_1995_100
