fuente,archivo,hoja,tabla,codigo_fuente,codigo_normalizado,nivel_codigo,seccion_ciiu_fuente,descripcion,anno,valor,unidad,dato_preliminar,nota_fuente
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2011,40633579.86835,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2012,42739440.9712568,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2013,44459274.2771045,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2014,49740304.3947737,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2015,54086087.34313,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2016,52453334.7033592,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2017,54517873.4560624,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2018,62127727.136837,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2019,72431680.4754253,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2005,2298616.37766251,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2006,2757444.41190342,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2007,3173292.43669915,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2008,4308011.63455678,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2009,3099742.85577518,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2010,5054139.6191709,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2011,3535439.66545991,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2012,2793464.46820837,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2013,3604532.70729002,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2014,4803251.2006982,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2015,7250593.03677084,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2016,7544701.28885949,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2017,7801442.78679514,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2018,8496446.0973731,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.020,A.020,grupo_bcu,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2019,9416015.93311144,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.0200.0,A.0200.0,clase,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2005,2298616.37766251,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.0200.0,A.0200.0,clase,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2006,2757444.41190342,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.0200.0,A.0200.0,clase,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2007,3173292.43669915,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.0200.0,A.0200.0,clase,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2008,4308011.63455678,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.0200.0,A.0200.0,clase,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2009,3099742.85577518,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.0200.0,A.0200.0,clase,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2010,5054139.6191709,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.0200.0,A.0200.0,clase,A,"Silvicultura, extracción de madera y actividades de servicios conexas",2011,3535439.66545991,miles_de_pesos_corrientes,False,
