fuente,archivo,pagina,tabla,grupo_costo,componente,componente_etiqueta,sector_codigo,sector,anno,valor,unidad
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,34_35,Vehiculos y equipo de transporte,2005,0.7,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,36,Muebles y Otras Industrias,2005,1.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,15_16,"Alimentos, Bebidas y Tabaco",2005,0.4,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,17_18_19,"Textiles, Vestimenta y Cuero",2005,2.9,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,20,Madera y productos de madera,2005,13.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,21_22,Papel e imprenta,2005,3.4,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,23,Prod. derivados del petroleo,2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,24_25,"Prod. quimicos, caucho y plastico",2005,1.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,26_27,Minerales no metalicos y metalicas basicas,2005,1.8,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,28_29_30,"Metalicos, Maq. y Equipos",2005,3.7,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,31_32_33,Maq. y aparatos electricos,2005,1.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,34_35,Vehiculos y equipo de transporte,2005,0.8,porcentaje
