anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2008,H_J,4,Rev.4,91476063712.22075,,36179997584.96864,,17013000481.574476,51846.5635697458,13636148745.270618,4179064620.969774,7730644838.960117,-1151801194.9276118,65044413404.64581,19166997103.394165,0.47023221716970776,697828.266598577
2008,I,4,Rev.4,11300027030.532764,,4821487817.232343,,2634263481.4472523,18496.74992817709,373654444.04474145,122131270.34994856,931999674.7244755,27390410.01135142,18028257256.579735,2187224335.7850904,0.5463590454448948,260666.75691427887
2008,L_M_N,4,Rev.4,23468427698.736195,,9436891651.826918,,6100613117.159366,46616.445937928234,777880193.4655463,37826464.67872253,446201137.8342115,46938395.22716819,4275162680.187546,3336278534.667552,0.6464642535106704,202436.96107576578
2008,P,4,Rev.4,5865304758.143881,,4270908244.3107476,,3566664247.1511264,31795.13559791978,246447048.8102828,16904145.00000002,216899777.81395024,2193644.802839375,4923818442.126952,704243997.1596212,0.8351067368169895,134325.83833956585
2008,Q,4,Rev.4,35285335552.141045,,19717369003.045124,,16994715654.668388,69259.1383535502,1612498764.514979,2657427.3146865014,702770962.9521402,-22014455.544239808,13739384595.28146,2722653348.3767357,0.861915991532326,284689.78205291834
2008,R_S,4,Rev.4,5791343044.277779,,2714021939.7301593,,1475484549.7380955,8919.444444444447,252867504.0793652,20187248.785714287,319930257.96825397,-2745182.3650793647,5380229455.031748,1238537389.9920638,0.5436524031507258,304281.5005614628
2009,C,4,Rev.4,262347159926.77643,,78234883877.82039,,29743370612.992485,104036.64779083544,7961085386.424266,2415847160.2104025,7803216717.64234,9175908840.983257,93192117548.19604,48491513264.8279,0.3801804149085564,751993.5093940241
2009,D_E,4,Rev.4,34162044497.8,,12299179975.8,,6068798136.1,12290.2,4760493305.9,216686723.9999999,4863765968.0,114674521.8,92363394353.5,6230381839.699999,0.49343111882589197,1000730.6614863874
2009,G,4,Rev.4,78812299023.8035,,46924257067.79283,,21123382960.93432,99621.60726772869,6918031617.393573,3054292540.719862,2464916912.164158,1303956626.6589787,29062370119.560966,25800874106.858513,0.45015913476087127,471024.89464645914
2009,H_J,4,Rev.4,94219750468.94139,,44677051180.48324,,20593240105.11923,54292.735493914275,13488357170.318829,3664146093.9299464,8877254981.233042,-2140244676.9304252,85729337195.52887,24083811075.36401,0.46093552642783187,822891.8799917741
