anno,nivel_validacion,grupo_o_division,variable,test,estado,valor_observado,valor_referencia,diferencia,diferencia_pct,mensaje
2010,consistencia,24,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,4814397910.843076,1753092235.7746994,3061305675.0683765,174.6231950947847,
2010,consistencia,24,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,1753092235.7746994,736034494.8484063,1017057740.9262931,138.18071680672608,
2010,consistencia,24,puestos_trabajo,puestos_trabajo_positivo,ok,1749.1348072915118,0,1749.1348072915118,,
2010,consistencia,25,vab_pp,no_nulo_en_fila_aditiva,ok,2235142195.975047,no_nulo,,,
2010,consistencia,25,remuneraciones,no_nulo_en_fila_aditiva,ok,1291071666.2774231,no_nulo,,,
2010,consistencia,25,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,6145468772.7583475,2235142195.975047,3910326576.7833004,174.94755294875006,
2010,consistencia,25,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,2235142195.975047,1291071666.2774231,944070529.697624,73.12301511655697,
2010,consistencia,25,puestos_trabajo,puestos_trabajo_positivo,ok,4878.646792116997,0,4878.646792116997,,
2010,consistencia,26,vab_pp,no_nulo_en_fila_aditiva,ok,225674927.2257563,no_nulo,,,
2010,consistencia,26,remuneraciones,no_nulo_en_fila_aditiva,ok,138467932.8075164,no_nulo,,,
2010,consistencia,26,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,438072041.4990985,225674927.2257563,212397114.2733422,94.1163986998292,
2010,consistencia,26,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,225674927.2257563,138467932.8075164,87206994.41823989,62.97992080192741,
2010,consistencia,26,puestos_trabajo,puestos_trabajo_positivo,ok,405.49624822997936,0,405.49624822997936,,
2010,consistencia,27,vab_pp,no_nulo_en_fila_aditiva,ok,931180428.6025729,no_nulo,,,
2010,consistencia,27,remuneraciones,no_nulo_en_fila_aditiva,ok,489623482.16511923,no_nulo,,,
2010,consistencia,27,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,2403693133.2939906,931180428.6025729,1472512704.6914177,158.133983432322,
2010,consistencia,27,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,931180428.6025729,489623482.16511923,441556946.4374537,90.1829594620105,
2010,consistencia,27,puestos_trabajo,puestos_trabajo_positivo,ok,1578.6043148043432,0,1578.6043148043432,,
2010,consistencia,28,vab_pp,no_nulo_en_fila_aditiva,ok,1041084190.4731928,no_nulo,,,
2010,consistencia,28,remuneraciones,no_nulo_en_fila_aditiva,ok,500104195.7081933,no_nulo,,,
2010,consistencia,28,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,2357067532.664128,1041084190.4731928,1315983342.1909351,126.40508368423072,
2010,consistencia,28,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,1041084190.4731928,500104195.7081933,540979994.7649995,108.17345653317751,
2010,consistencia,28,puestos_trabajo,puestos_trabajo_positivo,ok,1498.7547404910101,0,1498.7547404910101,,
2010,consistencia,29,vab_pp,no_nulo_en_fila_aditiva,ok,1762865784.0356894,no_nulo,,,
2010,consistencia,29,remuneraciones,no_nulo_en_fila_aditiva,ok,747750964.6406099,no_nulo,,,
2010,consistencia,29,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,6562975139.133861,1762865784.0356894,4800109355.098171,272.2901197905939,
2010,consistencia,29,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,1762865784.0356894,747750964.6406099,1015114819.3950795,135.7557351842364,
2010,consistencia,29,puestos_trabajo,puestos_trabajo_positivo,ok,2399.413915931654,0,2399.413915931654,,
2010,consistencia,30,vab_pp,no_nulo_en_fila_aditiva,ok,294860550.3840355,no_nulo,,,
2010,consistencia,30,remuneraciones,no_nulo_en_fila_aditiva,ok,110122070.9116406,no_nulo,,,
2010,consistencia,30,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,1147095966.6981099,294860550.3840355,852235416.3140743,289.02998899109986,
