anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2008,R_S,4,Rev.4,5791343044.27778,,2714021939.73016,,1475484549.7381,8919.44444444445,252867504.079365,20187248.7857143,319930257.968254,-2745182.36507936,5380229455.03175,1238537389.99206,0.543652403150726,304281.500561463
2009,C,4,Rev.4,262347159926.776,,78234883877.8204,,29743370612.9925,104036.647790835,7961085386.42427,2415847160.2104,7803216717.64234,9175908840.98326,93192117548.196,48491513264.8279,0.380180414908556,751993.509394024
2009,D_E,4,Rev.4,34162044497.8,,12299179975.8,,6068798136.1,12290.2,4760493305.9,216686724,4863765968,114674521.8,92363394353.5,6230381839.7,0.493431118825892,1000730.66148639
2009,G,4,Rev.4,78812299023.8035,,46924257067.7928,,21123382960.9343,99621.6072677287,6918031617.39357,3054292540.71986,2464916912.16416,1303956626.65898,29062370119.561,25800874106.8585,0.450159134760871,471024.894646459
2009,H_J,4,Rev.4,94219750468.9414,,44677051180.4832,,20593240105.1192,54292.7354939143,13488357170.3188,3664146093.92995,8877254981.23304,-2140244676.93043,85729337195.5289,24083811075.364,0.460935526427832,822891.879991774
2009,I,4,Rev.4,12674114232.3297,,5436411405.30722,,2965205187.34601,17697.4711439328,780365867.979899,102402211,737296133.206112,15094091.3405862,15824518238.2196,2471206217.96121,0.545434288591785,307185.775927707
2009,L_M_N,4,Rev.4,31888503540.244,,14557699643.2803,,9817803133.81814,61772.2605977847,1092830465.86284,135506809.227578,606069186.234065,-223909629.731322,5636265167.86892,4739896509.46211,0.67440621625615,235667.263953139
2009,P,4,Rev.4,7024062835.93046,,5473932707.72654,,4330630889.86295,30152.8270148521,396857073.372038,3129009.66276262,191083057.803429,-4797671.99253382,4420167255.39848,1143301817.86359,0.791137034576658,181539.618326013
2009,Q,4,Rev.4,39651080888.0213,,21927460428.5302,,19081212214.0546,74044.7710593574,1722104161.79037,11132202.4689132,757359356.495598,-3846200.94351508,14648937124.259,2846248214.47554,0.870197088087217,296137.865170144
2009,R_S,4,Rev.4,11746279430.0337,,5121528140.79576,,3385269866.45843,23552.4923506787,375209335.057403,76243318.3314286,387237796.621816,-11281477.410975,5516886601.52118,1736258274.33733,0.660988238938475,217451.642252553
2010,C,4,Rev.4,298614685114.745,,95564090931.2523,,34131850283.3496,112274.193929867,10581328732.3151,2632960238.70079,8154845648.11994,12317165605.5467,99737810059.4515,61432240647.9027,0.357161879014824,851167.018762544
