anno,seccion,seccion_fuente,ciiu_version,epoca,archivo_fuente,division_publicada,codigos_componentes,codigos_base_2dig,nivel_agregacion,usar_para_homologacion,descripcion_fuente,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3590,3590,35,clase_4_digitos,si,Fabricación de otro equipo de transporte n.c.p.,3177606713.0,,823382498.0,,192460029.5,1096.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3610,3610,36,clase_4_digitos,si,Fabricación de muebles y colchones.,1518869206.0,,409239501.0,,238012834.0,1752.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3691,3691,36,clase_4_digitos,si,Elaboración de joyas y artículos conexos.,52769444.66666667,,26608008.666666668,,18591030.0,151.66666666666669
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3699,3699,36,clase_4_digitos,si,Otras industrias manufactureras n.c.p.,337249210.5,,136553988.0,,67993377.0,412.5
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3700,3700,37,clase_4_digitos,si,Reciclaje de desperdicios y desechos metálicos y no metálicos.,193560058.5,,60045901.0,,17695428.5,211.0
2008,C,C,Rev.4,4,EAE_C1_2008.xls,10,10,10,division_2_digitos,si,Elaboración de productos alimenticios.,112667684769.29803,,28780301494.880676,,9263288589.567032,45205.838233849194
2008,C,C,Rev.4,4,EAE_C1_2008.xls,11,11,11,division_2_digitos,si,Elaboración de bebidas.,15114611332.033894,,5808849038.31325,,1219842044.607757,3436.0062389007217
2008,C,C,Rev.4,4,EAE_C1_2008.xls,12,12,12,division_2_digitos,si,Elaboración de productos de tabaco.,4678389894.0,,3620869848.0,,463411187.0,609.0
2008,C,C,Rev.4,4,EAE_C1_2008.xls,13,13,13,division_2_digitos,si,Fabricación de productos textiles.,7399862699.135186,,1595198533.1947024,,858604559.5127511,4335.688712414346
2008,C,C,Rev.4,4,EAE_C1_2008.xls,14,14,14,division_2_digitos,si,Fabricación de prendas de vestir.,3198551033.358702,,1205811505.8530428,,744504040.2917635,6820.564426336869
2008,C,C,Rev.4,4,EAE_C1_2008.xls,15,15,15,division_2_digitos,si,Fabricación de cueros y productos conexos.,7466303529.75223,,1963221054.5262334,,1028265350.085589,4708.955445153794
2008,C,C,Rev.4,4,EAE_C1_2008.xls,16,16,16,division_2_digitos,si,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.",9721312152.176365,,1226715543.282945,,666260021.4963124,3336.819352294534
2008,C,C,Rev.4,4,EAE_C1_2008.xls,17,17,17,division_2_digitos,si,Fabricación de papel y de los productos de papel.,18995436439.846092,,9548862673.632406,,798999491.1049529,2310.1026205321964
2008,C,C,Rev.4,4,EAE_C1_2008.xls,18,18,18,division_2_digitos,si,Actividades de impresión y reproducción de grabaciones.,3138859139.6519628,,1247728054.4440753,,675159606.964852,2978.1066942909993
2008,C,C,Rev.4,4,EAE_C1_2008.xls,19,19,19,division_2_digitos,si,Fabricación de coque y de productos de la refinación del petróleo.,41700433194.0,,5053278165.0,,625390785.0,1014.0
