fuente,archivo,pagina,tabla,rama_codigo,rama_descripcion,anno,periodo,valor,unidad
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2017,anio,118.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2018,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2019,anio,94.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2020,anio,91.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2021,anio,79.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2022,anio,98.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2023,anio,111.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2024,anio,103.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2025,ene_jul,88.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2014,anio,117.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2015,anio,117.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2016,anio,115.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2017,anio,111.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2018,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2019,anio,102.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2020,anio,87.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2021,anio,94.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2022,anio,101.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2023,anio,102.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2024,anio,103.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1071,Elaboración de productos de panadería.,2025,ene_jul,95.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2014,anio,187.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2015,anio,145.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2016,anio,151.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2017,anio,197.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2018,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2019,anio,121.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2020,anio,152.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2021,anio,164.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2022,anio,188.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2023,anio,176.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2024,anio,183.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,107A,"Elaboración de azúcar, cacao, chocolate y confites.",2025,ene_jul,220.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1074,Elaboración de pastas.,2014,anio,128.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1074,Elaboración de pastas.,2015,anio,123.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1074,Elaboración de pastas.,2016,anio,121.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1074,Elaboración de pastas.,2017,anio,112.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1074,Elaboración de pastas.,2018,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1074,Elaboración de pastas.,2019,anio,103.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1074,Elaboración de pastas.,2020,anio,104.0,indice_2018_100
