fuente,archivo,pagina,tabla,anno,trimestre,variable,variable_etiqueta,valor,unidad
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,1,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,207.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,1,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,722.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,1,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,712.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,1,imeq_total_economia_sin_celulosa,Economía sin celulosa,815.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,2,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,154.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,2,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,592.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,2,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,587.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,2,imeq_total_economia_sin_celulosa,Economía sin celulosa,596.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,3,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,259.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,3,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,488.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,3,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,482.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,3,imeq_total_economia_sin_celulosa,Economía sin celulosa,466.0,indice_2002_100
